Frame Index,Time (s),Track ID,Class Name,Center X,Center Y,Width,Height,Speed
21,0.7007390648567119,1,car,527.323025354279,58.359385695905175,56.73302629973881,25.82301312921848,0
22,0.7341075917546506,1,car,526.7879260567835,58.34079759821134,56.45248164919343,25.695318372475867,16.045720427142587
23,0.7674761186525892,1,car,526.2528267592879,58.3222095005175,56.17193699795581,25.567623615733247,16.045720427142587
24,0.8008446455505279,1,car,524.802136126117,57.721220186256986,57.383639578204566,26.035027404780777,47.05787716584684
25,0.8342131724484665,1,car,524.2341096465797,57.56210407658847,57.8237043256392,26.135775499443703,17.67808127556058
26,0.8675816993464052,1,car,523.9020459126608,57.596236397324205,57.402237147125845,25.85976615098398,10.003837752506735
27,0.9009502262443438,1,car,522.6815419567915,58.040138951046124,55.06952093042793,24.543780286750533,38.92057374302161
28,0.9343187531422825,1,car,521.6326698751344,58.17937544947455,54.827283696496806,24.178613128519707,31.708725499366473
29,0.9676872800402212,1,car,520.8170335445261,57.76917135686381,56.50865187291021,24.716086424739842,27.36047222294547
30,1.0010558069381599,1,car,518.827002871559,57.507950470644545,57.68983500391329,25.217258543394387,60.14955362673052
31,1.0344243338360986,1,car,517.9426105086974,57.499969772357495,57.85338693395255,25.25701582501462,26.50486710069312
32,1.0677928607340372,1,car,516.3722254349208,57.42690370107094,57.85308357414573,25.263351990355467,47.112776359443075
33,1.101161387631976,1,car,515.0040359012879,57.148216516506096,58.787321185352255,25.749314199533984,41.84434193733245
34,1.1345299145299146,1,car,513.8324382615109,57.055088571352464,58.63825826255061,25.698059783120684,35.221605437356665
35,1.1678984414278533,1,car,512.7775798256944,56.9546928410993,58.19938696574485,25.496123783139232,31.75522942653948
36,1.2012669683257917,1,car,511.7922080186857,56.99990079826147,57.81112966621902,25.262235479702284,29.561038602066844
37,1.2346354952237304,1,car,511.02915901583833,56.89725702237344,57.65471648886842,25.112803508018857,23.073292032620692
38,1.268004022121669,1,car,510.08484929260896,56.735520820852585,57.5817402154978,24.96895447545819,28.71149385647776
39,1.3013725490196077,1,car,509.0672023010806,56.640039833777244,57.454271041418565,24.913673851995284,30.6311526362072
40,1.3347410759175464,1,car,508.07324826097545,56.98437174919848,55.96215573503741,24.026431063842253,31.523937719020008
